wut,x2,spectral,0,UMAP_global,120 x 2,120 x 2,"cf: [[ 1 12 37]
 [ 0 40  0]
 [30  0  0]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.3416666666666667 
wut,x2,gaussianmixture,0,UMAP_global,120 x 2,120 x 2,"cf: [[37  1 12]
 [ 0  0 40]
 [ 0 30  0]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.30833333333333335 
wut,x2,hdbscan,0,UMAP_global,120 x 2,120 x 2,"cf: [[ 0  0  0  0]
 [37 12  1  0]
 [ 0 40  0  0]
 [ 0  0 30  0]] ",nca: nan ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.1 
wut,x2,kmodes,0,UMAP_global,120 x 2,120 x 2,"cf: [[50  0  0]
 [38  1  1]
 [30  0  0]] ",nca: 0.012499999999999956 ,r: 0.35336134453781515 ,ar: 0.0017261021162011945 ,fm: 0.575771112548226 ,mi: 0.018594327932852053 ,nmi: 0.0316802559337953 ,ami: 0.0008693429657625668 ,a: 0.425 
wut,x2,birch,0,UMAP_global,120 x 2,120 x 2,"cf: [[12 37  1]
 [40  0  0]
 [ 0  0 30]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.35 
wut,x2,minibatchkmeans,0,UMAP_global,120 x 2,120 x 2,"cf: [[12 37  1]
 [40  0  0]
 [ 0  0 30]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.35 
wut,x2,latentdirichletallocation,0,UMAP_global,120 x 2,120 x 2,"cf: [[ 0  7 43]
 [ 0 33  7]
 [ 0 30  0]] ",nca: 0.42999999999999994 ,r: 0.6829131652661065 ,ar: 0.3697379912663755 ,fm: 0.6402252013259855 ,mi: 0.3558830006084146 ,nmi: 0.4051607605485284 ,ami: 0.3993553233332006 ,a: 0.275 
wut,x2,spectralcoclustering,0,UMAP_global,120 x 2,120 x 2,"cf: [[ 1 12 37]
 [ 0 40  0]
 [30  0  0]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.3416666666666667 
wut,x2,bayesiangaussianmixture,0,UMAP_global,120 x 2,120 x 2,"cf: [[12 37  1]
 [35  0  5]
 [ 0  0 30]] ",nca: 0.8075000000000001 ,r: 0.8217086834733893 ,ar: 0.6012384167148527 ,fm: 0.7357905631700226 ,mi: 0.6973526095403666 ,nmi: 0.6431209366655554 ,ami: 0.6374081123701094 ,a: 0.35 
wut,x2,genie,0,Base,120 x 2,120 x 2,"cf: [[12 37  1]
 [40  0  0]
 [ 0  0 30]] ",nca: 0.8700000000000001 ,r: 0.8595238095238096 ,ar: 0.6882872342370341 ,fm: 0.7951855144568276 ,mi: 0.8066538496218372 ,nmi: 0.749551954502048 ,ami: 0.7455077928160848 ,a: 0.35 
wut,x2,kmeans,0,Base,120 x 2,120 x 2,"cf: [[13 26 11]
 [40  0  0]
 [30  0  0]] ",nca: 0.26 ,r: 0.5970588235294118 ,ar: 0.2090548061351082 ,fm: 0.5506591463162214 ,mi: 0.3789869171860046 ,nmi: 0.4025447768924715 ,ami: 0.39109684022319713 ,a: 0.10833333333333334 
wut,x2,agglomerative,0,Base,120 x 2,120 x 2,"cf: [[14 25 11]
 [40  0  0]
 [30  0  0]] ",nca: 0.25 ,r: 0.5855742296918768 ,ar: 0.19059652305968908 ,fm: 0.5425659882143382 ,mi: 0.36380041978511246 ,nmi: 0.38845360577152427 ,ami: 0.3766654171787823 ,a: 0.11666666666666667 
wut,x2,spectral,0,Base,120 x 2,120 x 2,"cf: [[24 21  5]
 [ 0 40  0]
 [ 0 30  0]] ",nca: 0.24 ,r: 0.5239495798319328 ,ar: 0.1117680342982711 ,fm: 0.5233213701483176 ,mi: 0.26953845801330634 ,nmi: 0.3095221830936558 ,ami: 0.29426509601256046 ,a: 0.5333333333333333 
